Content type,Object ID,User ID,First View,Last View,Views,Clicks,Liked,Completed,Times Completed,Last Completed,Max Duration,Total Duration,Max Duration Percent,Last Duration
Video,13155,162355,2019-10-21 20:24:03.573310+00:00,2019-12-24 22:25:35.198737+00:00,7,4,TRUE,TRUE,3,20191110,761,2046,127,382
Video,690,167566,2019-12-17 00:27:54.695675+00:00,2019-12-24 22:25:31.391690+00:00,8,0,,TRUE,6,20191224,61,368,100,61
Show,580,162355,2019-10-21 20:04:18.229719+00:00,2019-12-24 22:25:28.856913+00:00,14,5,,,,,,,,
Video,340,2486,2019-10-17 20:35:46.507647+00:00,2019-12-24 22:25:28.696147+00:00,3,0,,,,,24,48,17,24
Show,68,2486,2019-10-17 20:35:42.346265+00:00,2019-12-24 22:25:22.141797+00:00,4,0,,,,,,,,
Game,63,176195,2019-12-22 18:38:13.841342+00:00,2019-12-24 22:25:12.760821+00:00,2,2,,,,,311.4990001,392.842,,81.34299994
Video,708,66132,2019-12-23 00:17:01.716098+00:00,2019-12-24 22:24:57.648945+00:00,4,0,,TRUE,2,20191224,115,230,100,115
Video,784,167566,2019-12-10 01:20:24.775037+00:00,2019-12-24 22:24:28.273491+00:00,17,0,,TRUE,8,20191224,62,562,100,62
Game,112,172983,2019-12-23 18:21:59.436065+00:00,2019-12-24 22:23:58.228381+00:00,5,5,,,,,,,,
Video,9743,26501,2019-10-18 09:12:58.179841+00:00,2019-12-24 22:23:51.587349+00:00,5,0,,TRUE,5,20191224,100,500,100,100
Video,13587,2486,2019-12-24 22:23:40.272462+00:00,2019-12-24 22:23:40.276172+00:00,1,0,,,,,1,1,6,1
Video,13590,17251,2019-12-24 22:12:45.058131+00:00,2019-12-24 22:23:36.271345+00:00,2,0,,,,,0,0,4,0
Video,10045,17251,2019-12-24 22:23:32.672082+00:00,2019-12-24 22:23:32.672109+00:00,0,0,,,,,26,26,7,26
Show,395,17251,2019-09-25 20:38:42.004605+00:00,2019-12-24 22:23:31.478312+00:00,4,3,,,,,,,,
Show,533,17251,2019-12-24 22:23:26.928205+00:00,2019-12-24 22:23:26.932377+00:00,1,0,,,,,,,,
